                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.58754,                0.54272,                 1.0541,                0.93924,                0.87074,                0.94096,                0.82201,                0.45337,                0.34495,                0.96199,              0.0048124,              0.0048124,              0.0048124
                    134,                0.58501,                0.53569,                 1.0502,                0.94069,                0.87046,                0.94128,                0.82208,                0.45336,                0.34503,                 0.9619,              0.0047728,              0.0047728,              0.0047728
                    135,                0.58537,                0.53822,                 1.0498,                0.92573,                0.88359,                0.94134,                 0.8225,                 0.4532,                0.34459,                0.96161,              0.0047332,              0.0047332,              0.0047332
                    136,                0.58663,                0.53583,                 1.0505,                0.92856,                0.88309,                0.94158,                0.82238,                0.45292,                0.34424,                0.96146,              0.0046936,              0.0046936,              0.0046936
                    137,                0.58595,                0.53668,                 1.0512,                0.93867,                0.87679,                0.94203,                 0.8227,                0.45261,                 0.3438,                0.96129,               0.004654,               0.004654,               0.004654
                    138,                0.58511,                0.53675,                 1.0502,                0.93971,                0.87688,                0.94247,                0.82363,                0.45228,                0.34352,                0.96123,              0.0046144,              0.0046144,              0.0046144
                    139,                0.58073,                0.53326,                 1.0487,                0.93927,                0.87751,                0.94243,                0.82365,                0.45228,                0.34337,                0.96123,              0.0045748,              0.0045748,              0.0045748
                    140,                0.58278,                0.53491,                 1.0505,                0.94003,                0.87749,                0.94252,                0.82368,                0.45205,                0.34342,                0.96116,              0.0045352,              0.0045352,              0.0045352
                    141,                0.58488,                0.53319,                 1.0521,                0.94098,                0.87719,                0.94247,                0.82323,                0.45195,                0.34327,                0.96117,              0.0044956,              0.0044956,              0.0044956
                    142,                0.58018,                0.52843,                  1.047,                0.92987,                0.89059,                0.94316,                0.82411,                0.45188,                0.34321,                  0.961,               0.004456,               0.004456,               0.004456
                    143,                0.58235,                0.53107,                 1.0493,                0.93546,                0.88709,                0.94323,                0.82525,                0.45175,                0.34283,                  0.961,              0.0044164,              0.0044164,              0.0044164
                    144,                0.57927,                0.52731,                 1.0483,                0.93612,                 0.8862,                0.94349,                0.82558,                0.45169,                0.34216,                0.96093,              0.0043768,              0.0043768,              0.0043768
                    145,                0.57553,                 0.5287,                 1.0456,                0.93505,                0.88619,                0.94372,                0.82558,                0.45146,                0.34184,                0.96082,              0.0043372,              0.0043372,              0.0043372
                    146,                0.58153,                0.52902,                 1.0496,                0.93308,                0.88861,                0.94385,                0.82636,                0.45114,                0.34132,                0.96065,              0.0042976,              0.0042976,              0.0042976
                    147,                0.57736,                0.52649,                 1.0466,                0.93037,                0.88852,                0.94378,                0.82696,                0.45106,                 0.3408,                0.96047,               0.004258,               0.004258,               0.004258
                    148,                0.57931,                0.52216,                 1.0465,                0.93048,                0.89053,                0.94416,                0.82706,                0.45116,                0.34069,                0.96063,              0.0042184,              0.0042184,              0.0042184
                    149,                0.57909,                0.52452,                 1.0471,                 0.9356,                0.88957,                0.94425,                0.82697,                0.45088,                 0.3406,                0.96042,              0.0041788,              0.0041788,              0.0041788
                    150,                0.57768,                0.52349,                  1.048,                0.93196,                0.89502,                0.94434,                0.82566,                0.45044,                0.33991,                0.96009,              0.0041392,              0.0041392,              0.0041392
                    151,                0.57535,                0.51744,                 1.0466,                0.93448,                0.89277,                0.94434,                0.82531,                0.45043,                0.33953,                0.96021,              0.0040996,              0.0040996,              0.0040996
                    152,                0.57391,                0.51948,                 1.0453,                0.93341,                0.89324,                0.94455,                0.82464,                0.45026,                0.33959,                0.96016,                0.00406,                0.00406,                0.00406
                    153,                0.57547,                0.52088,                 1.0462,                0.93531,                0.89259,                0.94476,                0.82474,                0.45025,                0.33906,                0.96014,              0.0040204,              0.0040204,              0.0040204
                    154,                0.57779,                0.51808,                 1.0459,                0.93551,                0.89503,                0.94503,                 0.8247,                0.45015,                0.33865,                0.96015,              0.0039808,              0.0039808,              0.0039808
